iter	Passed	Remaining
406	7990	11641
407	8005	11615
408	8020	11590
409	8036	11565
410	8053	11541
411	8068	11514
412	8083	11488
413	8097	11462
414	8113	11436
415	8128	11411
416	8143	11385
417	8158	11358
418	8173	11333
419	8188	11307
420	8203	11281
421	8217	11255
422	8233	11231
423	8248	11205
424	8261	11177
425	8277	11153
426	8291	11126
427	8306	11101
428	8322	11076
429	8339	11054
430	8354	11029
431	8368	11003
432	8382	10976
433	8397	10951
434	8412	10926
435	8426	10900
436	8441	10875
437	8456	10850
438	8470	10824
439	8484	10798
440	8499	10773
441	8514	10749
442	8529	10724
443	8543	10698
444	8558	10673
445	8573	10649
446	8588	10624
447	8604	10601
448	8618	10576
449	8633	10551
450	8648	10528
451	8664	10504
452	8679	10480
453	8694	10456
454	8711	10434
455	8726	10410
456	8742	10387
457	8757	10363
458	8772	10339
459	8788	10316
460	8803	10293
461	8820	10271
462	8838	10250
463	8853	10227
464	8869	10204
465	8885	10182
466	8901	10159
467	8918	10138
468	8934	10115
469	8949	10092
470	8965	10069
471	8981	10046
472	8997	10024
473	9012	10001
474	9027	9977
475	9042	9954
476	9060	9934
477	9076	9911
478	9092	9889
479	9108	9867
480	9123	9844
481	9140	9823
482	9157	9801
483	9173	9779
484	9189	9757
485	9205	9735
486	9224	9716
487	9240	9694
488	9255	9672
489	9271	9650
490	9287	9628
491	9304	9606
