iter	RMSE
303	4.370896239
304	4.365520465
305	4.360872752
306	4.356275581
307	4.354200392
308	4.349175162
309	4.345050617
310	4.339480637
311	4.334792554
312	4.330105282
313	4.324985315
314	4.320364123
315	4.314508888
316	4.310630017
317	4.306969998
318	4.303493807
319	4.299651143
320	4.296072553
321	4.292406326
322	4.288895223
323	4.286128199
324	4.281502402
325	4.274553812
326	4.270871229
327	4.266023586
328	4.263125993
329	4.256476387
330	4.249996663
331	4.244713772
332	4.240405972
333	4.237572352
334	4.234593853
335	4.229997138
336	4.22750497
337	4.224657862
338	4.22007692
339	4.215409516
340	4.212623539
341	4.206538943
342	4.201758671
343	4.198177453
344	4.19493019
345	4.19073445
346	4.186336497
347	4.18226781
348	4.178494766
349	4.173146213
350	4.169612633
351	4.166085849
352	4.16096335
353	4.15656238
354	4.15355563
355	4.149073988
356	4.14429287
357	4.139360892
358	4.137185436
359	4.133732966
360	4.129132925
361	4.124917992
362	4.121158297
363	4.118065089
364	4.113955998
365	4.109703922
366	4.107015883
367	4.102907772
368	4.099649766
369	4.095997067
370	4.092090252
371	4.084604602
372	4.078931828
373	4.075473676
374	4.071475251
375	4.066974067
376	4.062628775
377	4.059562754
378	4.055090636
379	4.050928752
380	4.04552116
381	4.042967088
382	4.039609967
383	4.035163562
384	4.032077276
385	4.029695523
386	4.026098045
387	4.020704965
388	4.015967825
389	4.013086595
390	4.009006291
391	4.004277707
392	3.998901531
393	3.994348911
394	3.990988879
395	3.985302995
396	3.983067994
397	3.977552365
398	3.972275885
399	3.967305831
400	3.962258239
401	3.958630827
402	3.953906949
403	3.95111787
404	3.946481642
405	3.943440238
406	3.939234886
407	3.935999933
408	3.93312595
409	3.929219724
410	3.926567443
411	3.923438925
412	3.919306564
413	3.915940222
414	3.911770941
415	3.907244269
416	3.904029039
417	3.900602628
418	3.896607741
419	3.892813277
420	3.889088554
421	3.885750132
422	3.882195696
423	3.878840156
424	3.875470456
425	3.872345219
426	3.868395913
427	3.863632901
428	3.858294199
429	3.855240251
430	3.852081162
431	3.846383567
432	3.843434725
433	3.839430911
434	3.8350389
435	3.832148198
436	3.82895762
437	3.824871007
438	3.822012907
439	3.819266555
440	3.81603446
441	3.812610355
442	3.810323903
443	3.807091162
444	3.803327423
445	3.801289664
446	3.797233274
447	3.793228254
448	3.791299713
449	3.788728041
450	3.785605971
451	3.782249598
452	3.778492487
453	3.775370261
454	3.772146136
455	3.768430529
456	3.766057991
457	3.764090667
458	3.760490885
459	3.756978632
460	3.753347372
461	3.750164755
462	3.746854459
463	3.744815524
464	3.740621504
465	3.736085223
466	3.733271783
467	3.731291137
468	3.727652815
469	3.723685282
470	3.721372937
471	3.717463298
472	3.713615835
473	3.711807076
474	3.708540493
475	3.705634677
476	3.701691743
477	3.69777111
478	3.692678785
479	3.688133361
480	3.684190297
481	3.682359904
482	3.678651853
483	3.67242706
484	3.668393927
485	3.665485183
486	3.661432889
487	3.656661021
488	3.654572047
489	3.650425428
490	3.646498232
491	3.643333893
