split,MAE_PM25_t_plus_1,MAE_PM25_t_plus_2,MAE_PM25_t_plus_3,MAE_macro
train,1.5284635899737455,1.9143948745568642,2.4567070877617927,1.9665218507641342
valid,2.577444842433681,3.3118446117908937,3.96308888260195,3.284126112275508
test,2.040393671046555,2.713314926316222,3.261111037060638,2.6716065448078052
